epoch,active_elements,max_current_grad_norm_sum,clipping_bound,T,budget,rdp_epsilon,noise_multiplier,ave_auc_macro
39,5876,4.588312149047852,0.343,,3.53047,2.401691978620862,10.614652581338738,
40,5874,4.705961227416992,0.343,,3.53047,2.435975422737811,10.614652581338738,
41,5874,4.823610305786133,0.343,,3.53047,2.4699042354925353,10.614652581338738,
42,5869,4.941259384155273,0.343,,3.53047,2.5034912520412878,10.614652581338738,
43,5865,5.058908462524414,0.343,,3.53047,2.5367482573361584,10.614652581338738,
44,5861,5.176557540893555,0.343,,3.53047,2.5696868419780707,10.614652581338738,
45,5857,5.294206619262695,0.343,,3.53047,2.602317193672414,10.614652581338738,
46,5851,5.411855697631836,0.343,,3.53047,2.6346495535721934,10.614652581338738,
47,5843,5.529504776000977,0.343,,3.53047,2.666693377483181,10.614652581338738,
48,5837,5.647153854370117,0.343,,3.53047,2.6984574215189188,10.614652581338738,
49,5833,5.764802932739258,0.343,,3.53047,2.729950739221092,10.614652581338738,
50,5828,5.882452011108398,0.343,,3.53047,2.7611809779315934,10.614652581338738,
